data_source,session,评分数量,平均分,最小,最大
/Volumes/LENOVO_USB_HDD/MS/data,20251223152019_lbx_05_lbx/20251223152019_lbx_05_lbx/lbx/evt.bdf,12,1.3333333333333333,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223152816_lbx_06_lbx/20251223152816_lbx_06_lbx/lbx/evt.bdf,11,1.0,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223164937_jrl_01_jrl/20251223164937_jrl_01_jrl/jrl/evt.bdf,12,0.08333333333333333,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251223165720_jrl_02_jrl/20251223165720_jrl_02_jrl/jrl/evt.bdf,12,1.0,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223170505_jrl_03_jrl/20251223170505_jrl_03_jrl/jrl/evt.bdf,11,0.9090909090909091,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223171452_jrl_04_jrl/20251223171452_jrl_04_jrl/jrl/evt.bdf,11,5.181818181818182,0,9
/Volumes/LENOVO_USB_HDD/MS/data,20251223172219_jrl_05_jrl/20251223172219_jrl_05_jrl/jrl/evt.bdf,12,2.0833333333333335,0,9
/Volumes/LENOVO_USB_HDD/MS/data,20251223183141_lsh_01_lsh/20251223183141_lsh_01_lsh/lsh/evt.bdf,12,0.75,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223184018_lsh_02_lsh/20251223184018_lsh_02_lsh/lsh/evt.bdf,11,2.0,2,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223184643_lsh_03_lsh/20251223184643_lsh_03_lsh/lsh/evt.bdf,12,2.5833333333333335,2,3
/Volumes/LENOVO_USB_HDD/MS/data,20251223185409_lsh_04_lsh/20251223185409_lsh_04_lsh/lsh/evt.bdf,12,3.0,3,3
/Volumes/LENOVO_USB_HDD/MS/data,20251223190121_lsh_05_lsh/20251223190121_lsh_05_lsh/lsh/evt.bdf,12,3.0,3,3
/Volumes/LENOVO_USB_HDD/MS/data,20251223195352_fjh_01_fjh/20251223195352_fjh_01_fjh/fjh/evt.bdf,11,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251223200252_fjh_02_fjh/20251223200252_fjh_02_fjh/fjh/evt.bdf,11,0.6363636363636364,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251223201208_fjh_03_fjh/20251223201208_fjh_03_fjh/fjh/evt.bdf,11,0.09090909090909091,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251223201954_fjh_04_fjh/20251223201954_fjh_04_fjh/fjh/evt.bdf,11,0.36363636363636365,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251223202719_fjh_05_fjh/20251223202719_fjh_05_fjh/fjh/evt.bdf,12,1.0833333333333333,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223203523_fjh_06_fjh/20251223203523_fjh_06_fjh/fjh/evt.bdf,10,1.0,1,1
/Volumes/LENOVO_USB_HDD/MS/data,20251224095254_hjy_03_hjy/20251224095254_hjy_03_hjy/hjy/evt.bdf,12,0.5,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251224100018_hjy_04_hjy/20251224100018_hjy_04_hjy/hjy/evt.bdf,11,1.7272727272727273,1,4
/Volumes/LENOVO_USB_HDD/MS/data,20251224110508_zgt_01_zgt/20251224110508_zgt_01_zgt/zgt/evt.bdf,12,0.5,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251224112358_zgt_03_zgt/20251224112358_zgt_03_zgt/zgt/evt.bdf,12,1.0,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251224143650_wjq_01_wjq/20251224143650_wjq_01_wjq/wjq/evt.bdf,6,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251224150026_wjq_04_wjq/20251224150026_wjq_04_wjq/wjq/evt.bdf,12,0.6666666666666666,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251224160739_mjj_01_mjj/20251224160739_mjj_01_mjj/mjj/evt.bdf,12,1.5833333333333333,1,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225093624_cy_01_cy/20251225093624_cy_01_cy/cy/evt.bdf,11,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225094612_cy_02_cy/20251225094612_cy_02_cy/cy/evt.bdf,11,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225095307_cy_03_cy/20251225095307_cy_03_cy/cy/evt.bdf,12,0.08333333333333333,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251225100012_cy_04_cy/20251225100012_cy_03_cy/cy/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225100708_cy_05_cy/20251225100708_cy_04_cy/cy/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225101643_cy_06_cy/20251225101643_cy_06_cy/cy/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225113944_cs2_01_cs2/20251225113944_cs2_01_cs2/cs2/evt.bdf,12,1.4166666666666667,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225114941_cs2_02_cs2/20251225114941_cs2_02_cs2/cs2/evt.bdf,12,1.0833333333333333,0,5
/Volumes/LENOVO_USB_HDD/MS/data,20251225115717_cs2_03_cs2/20251225115717_cs2_03_cs2/cs2/evt.bdf,12,0.16666666666666666,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251225120441_cs2_04_cs2/20251225120441_cs2_04_cs2/cs2/evt.bdf,12,0.6666666666666666,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225121151_cs2_05_cs2/20251225121151_cs2_05_cs2/cs2/evt.bdf,12,1.0,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225142623_zzl_01_zzl/20251225142623_zzl_01_zzl/zzl/evt.bdf,8,0.125,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251225143508_zzl_02_zzl/20251225143508_zzl_02_zzl/zzl/evt.bdf,10,1.4,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225144227_zzl_03_zzl/20251225144227_zzl_03_zzl/zzl/evt.bdf,8,1.875,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251225144939_zzl_04_zzl/20251225144939_zzl_04_zzl/zzl/evt.bdf,12,1.9166666666666667,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251225145724_zzl_05_zzl/20251225145724_zzl_05_zzl/zzl/evt.bdf,12,2.8333333333333335,2,4
/Volumes/LENOVO_USB_HDD/MS/data,20251225150443_zzl_06_zzl/20251225150443_zzl_06_zzl/zzl/evt.bdf,12,2.75,2,3
/Volumes/LENOVO_USB_HDD/MS/data,20251225160359_xcj_01_xcj/20251225160359_xcj_01_xcj/xcj/evt.bdf,10,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225161338_xjc_02_xcj/20251225161338_xjc_02_xcj/xcj/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225162129_xcj_03_xcj/20251225162129_xcj_03_xcj/xcj/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225162837_xjc_04_xcj/20251225162837_xjc_04_xcj/xcj/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225163537_xjc_05_xcj/20251225163537_xjc_05_xcj/xcj/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225164255_xcj_06_xcj/20251225164255_xcj_06_xcj/xcj/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225181822_sjl_01_sjl/20251225181822_sjl_01_sjl/sjl/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225182746_sjl_02_sjl/20251225182746_sjl_02_sjl/sjl/evt.bdf,12,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225183707_sjl_03_sjl/20251225183707_sjl_03_sjl/sjl/evt.bdf,11,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225184336_sjl_04_sjl/20251225184336_sjl_04_sjl/sjl/evt.bdf,10,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251225185037_sjl_05_sjl/20251225185037_sjl_05_sjl/sjl/evt.bdf,12,0.08333333333333333,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251225185803_sjl_06_sjl/20251225185803_sjl_06_sjl/sjl/evt.bdf,10,0.0,0,0
/Volumes/LENOVO_USB_HDD/MS/data,20251226092615_xcy_01_xcy/20251226092615_xcy_01_xcy/xcy/evt.bdf,10,0.3,0,1
/Volumes/LENOVO_USB_HDD/MS/data,20251226093617_xcy_02_xcy/20251226093617_xcy_02_xcy/xcy/evt.bdf,12,1.6666666666666667,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251226094307_xcy_03_xcy/20251226094307_xcy_03_xcy/xcy/evt.bdf,10,2.8,2,4
/Volumes/LENOVO_USB_HDD/MS/data,20251226094945_xcy_04_xcy/20251226094945_xcy_04_xcy/xcy/evt.bdf,12,2.5,2,3
/Volumes/LENOVO_USB_HDD/MS/data,20251226095635_xcy_05_xcy/20251226095635_xcy_05_xcy/xcy/evt.bdf,11,2.6363636363636362,0,4
